id,date,winner,loser,elo_winner,elo_loser,first_hand,conceded,record
207684677,2021-10-09 06:41:00,Deelex13,vik20,707,144,Deelex13,False,r4y2r1y1r1y1r5y1r1y1r5y1r5y5r5y5r5y5r5y5r5y5r5y1r5y1r5y5r4y5r1y3r1y5r4y4r4y4r2y3r4y3r4y3r4y4r2y4r3y1r2y1r2y1r1y2r1y2r4y3r4y3r4y4r2y2r3y4r3y2r4y4r1y4r1y2r4y2r3y4r5y4r1y2r3y2r1y2r1y4r1y4r2y4r1y4r3y4r5y4r4y4r1y4r1
207687846,2021-10-09 06:35:00,Deelex13,vik20,706,145,vik20,False,y2r1y4r1y3r1y4r4y3r4y3r2y4r2y3r4y3r5y3r2y5r2y4r4y5r4y4r4y5r4y5r5y5r4y5r2y5r5y1r1y1r5y1r5y4r3y1r5y1r2y1r3y1r3y1r1y4r1y2r2y2r4y2r1y2r4y4r2y4r3y4r1y4r1y4r1y4r1y4r5y4r4y2r5y4r1y4r4y2r1y2r1y4r4y4r3y4r5y2r3
207675699,2021-10-09 06:28:00,Deelex13,vik20,705,146,vik20,False,r1y4r1y2r1y2r3y4r4y4r3y4r3y4r1y2r2y4r2y4r4y4r2y4r2y4r2y4r1y4r3y4r3y4r3y4r4y4r4y4r4y4r4y2r1y2r4y2r4y2r1y2r4y2r1y5r2y5r5y5r5y5r5y5r2y5r2y3r2y1r1y1r5y4r1y3r1y1r1y1r1y1r1y1r1y1r1y2r2y5r2y3r2y4r2y3r2y5r5y1r5y1r5y1r2y3r5y2r5y3r5y4
207677266,2021-10-09 05:52:00,Deelex13,szedlacsek,705,119,szedlacsek,False,y4r5y4r5y4r4y5r1y3r5y3r4y5r5y5r5y5r5y5r5y5r5y5r5y5r2y1r1y1r2y1r2y1r4y1r4y2r1y2r1y2r1y2r3y4r4y1r1y1r4y1r4y1r3y2r3y2r3y2r3y2r4y2r3y2r1y4r1y2r5y3r5y3r5
207651296,2021-10-09 04:35:00,LoesElska,Chrilona,159,145,Chrilona,False,r1y4r3y4r5y5r5y5r5y5r5y5r4y5r2y3r2y3r5y3r4y1r5y2r1y2r3y4r4y3r4y3r2y3r3y4r3y1r1y5r2y4r5y4r3y1r3y1r3y4r4y5r4y4r4y5r4y1r5y1r2y4r3y4r1y2r1y5r1y5r1y5r2y2r3y2r3y2r2y2r4y1r4y2r4y2r4y2r2y1r2y1r2y1r2y4
207634218,2021-10-09 03:01:00,Lthlorien,ClearLakeTXgal,140,31,Lthlorien,False,y4r2y5r2y5r4y3r4y5r2y3r3y3r1y1r1y1r3y1r3y3r3y4r3y4r2y4r4y5r4y4r4y4r4y3r4y5r4y5r3y5r2y3r2y4r5y1r5y1r5y1r5y1r5y4r5y3
207629116,2021-10-09 02:11:00,Deelex13,szedlacsek,704,110,szedlacsek,False,r5y4r5y4r5y4r5y5r4y4r4y4r3y4r4y4r3y5r3y5r1y4r4y4r3y4r1y2r2y2r2y2r3y2r2y2r2y2r2y2r2y4r4y4r1y4r1y4r2y1r2y4r5y5r5y1r5y1r5y1r5y4r5y4r2y3r2y3r1y3r1y2r1y2r1y1r1y3r2y4r5y3r2y4r2y3r1y4r1y1r1y2r5y4r5y2
207608806,2021-10-09 00:38:00,Deelex13,El_ahrairah,703,1,Deelex13,False,r5y3r5y3r5y3r5y2r1y3r1y3r5y3r5y4r5y4r5y4r4y2r1y1r1y1r1y2r5y2r2y1r2y1r2y1r1y2r1y2r1y2r2y1r2y1r1y1r1y2r2y2r4y4r4y4r5y2r4y5r4y5r4y5r4y5r5y1r4y1r2y4r2
207595503,2021-10-08 23:40:00,Deelex13,funerie,703,122,funerie,False,y4r1y5r4y5r4y1r4y1r5y2r1y5r5y5r4y4r5y5r5y5r5y5r1y4r1y2r1y1r1y1r2y3r2y2r2y1r2y1r2y3r2y2r3y3r3y1r4y1r2y1r2y1r3y2r3y2r2y3r4y3r4y4r1y4r1y4r4y4r5y3r5
207568783,2021-10-08 21:21:00,Lorenzo93,funerie,423,1,funerie,False,y5r5y2r5y5r5y3r5y3r4y4r4y3r4y4r2y2r4y3r2y4r2y2r3y3r4y3r4y3r4y3r3y2r1y1r1y3r1y3r1y3r1y2r2y4r2y1r1y4r1y1r1y2r3y4r3y5r5y1r5y1r5y4r3y5r3y1r3y5r3y2r2
